Date / Time	City	State	Shape	Duration	Summary	Posted
9/1/11 2:30	West Greenwich	RI	Light	30 seconds	I awoke to find orbs of light floating outside my bedroom window	5/2/14
7/9/11 22:15	Mapillville	RI	Fireball	60 seconds	On 7-9-2001 i was driving home from a friends house in Mapillville Road Island . I was 1000 feet from my driveway. There was a clearing	7/17/11
7/4/11 22:00	Warwick	RI	Fireball	20 mins	Red lights in the sky on the 4th of july	7/6/11
5/8/11 23:00	Exeter	RI	Diamond	20min	A disbeliever firmly becomes a believer after spotting this thing in the sky.	5/29/11
3/7/11 18:50	Wakefield	RI	Formation	30-60 sec.	Two White Lights Fly Simultaneously WNW to EAST	3/10/11
2/18/11 19:40	North Kingston	RI	Flash	Seconds??	Man sitting in car is bathed in light from three very bright flashes of light, in rapid sequence.	2/18/11
1/25/11 19:20	South Kingstown	RI	Unknown	10 minutes	Mystery 'jets' again over Rhode Island	1/31/11
1/21/11 17:11	Warwick	RI	Light	10 Seconds	Blue ball of light arching in the sky in Warwick, Rhode Island	1/31/11
1/16/11 21:00	Pawtucket	RI	Circle	60 sec.	3 flying orange orbs.	1/31/11
1/3/11 21:40	Wakefield	RI	Disk	1.5 seconds	A large disc shaped craft entered my field of vision and disappeared before i could observe further details.	1/5/11
11/2/10 17:00	Coventry/West Greenwich	RI	Other	about 10 mins.	2 missile shaped objects in broad daylight. 95 SOUTH EXIT 7. They were moving extremely slow or not at all. Was not a plane.	11/21/10
9/20/10 0:00	Westerly	RI	Unknown	40 minutes	Low flying jet like sound followed by a long sighting of three color lighted object hovering.	11/21/10
9/15/10 22:45	East Greenwich	RI	Triangle	1 minute	Three bright white lights in a triangular shape - with a red pulsing light at the rear moving over highway - LOW	11/21/10
8/14/10 23:00	Providence	RI	Diamond	15 minutes	lights over providence	8/24/10
7/27/10 0:15	Cranston	RI	Other	20 minutes	Pulsating white, red, geen light in the Western Sky of Rhode Island. ((NUFORC Note: Sighting of star. PD))	7/28/10
7/15/10 19:45	Newport	RI	Disk	3 to 4 minutes	Dark stationary object w/ no lights; some type of stat. undercarriage. ((NUFORC Note: Report from Air Traffic Controller. PD))	6/8/12
